Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Case type (product.metafields.shopify.case-type),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Drinkware insulation (product.metafields.shopify.drinkware-insulation),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware shape (product.metafields.shopify.drinkware-shape),Fabric (product.metafields.shopify.fabric),Frame style (product.metafields.shopify.frame-style),Handle type (product.metafields.shopify.handle-type),Ingress protection (IP) rating (product.metafields.shopify.ingress-protection-ip-rating),Jewelry material (product.metafields.shopify.jewelry-material),MagSafe compatibility (product.metafields.shopify.magsafe-compatibility),Material (product.metafields.shopify.material),Microwave compatibility (product.metafields.shopify.microwave-compatibility),Mobile phone case features (product.metafields.shopify.mobile-phone-case-features),Neckline (product.metafields.shopify.neckline),Printing method (product.metafields.shopify.printing-method),Shape (product.metafields.shopify.shape),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Warmth rating (product.metafields.shopify.warmth-rating),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
america-250-garden-flag,America 250 Garden flag,"• 100% polyester<br>
• Size: 12″ × 17″ (30 × 43 cm)<br>
• Fabric weight: 1.2 oz./yd.² (34 g/m²)<br>
• Pole hem<br>
• Blank product sourced from China and printed in the US<br>
<br>
Disclaimers: <br>
• Each garden flag may vary slightly in size and may not be perfectly evenly cut<br>
• The flag pole is not included",Art by Valerie,,"","",true,Title,Default Title,,,,,,,,1373121_19211,36.8543800625,shopify,deny,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d67e0d2721.jpg?v=1783457802,1,Product mockup,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d67e0d2721.jpg?v=1783457802,oz,,8.67,true,,,active
flame-garden-flag,Flame Garden flag,"• 100% polyester<br>
• Size: 12″ × 17″ (30 × 43 cm)<br>
• Fabric weight: 1.2 oz./yd.² (34 g/m²)<br>
• Pole hem<br>
• Blank product sourced from China and printed in the US<br>
<br>
Disclaimers: <br>
• Each garden flag may vary slightly in size and may not be perfectly evenly cut<br>
• The flag pole is not included",Art by Valerie,,"","",true,Title,Default Title,,,,,,,,7532906_19211,36.8543800625,shopify,deny,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6c05ddc08.jpg?v=1783458839,1,Product mockup,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6c05ddc08.jpg?v=1783458839,oz,,8.67,true,,,active
flame-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6c05dfba4.jpg?v=1783458839,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flame-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6c05df700.jpg?v=1783458839,3,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flame-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-back-6a4d6c05df245.jpg?v=1783458838,4,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-of-the-free-garden-flag,Land of the Free Garden flag,"Whether you’re celebrating a special occasion, expressing support for a cause, or adding a welcoming touch to your home, the garden flag is your go-to choice for versatile and durable outdoor decor.<br>
<br>
• 100% polyester<br>
• Size: 12″ × 17″ (30 × 43 cm)<br>
• Fabric weight: 1.2 oz./yd.² (34 g/m²)<br>
• Pole hem<br>
• Blank product sourced from China and printed in the US<br>
<br>
Disclaimers: <br>
• Each garden flag may vary slightly in size and may not be perfectly evenly cut<br>
• The flag pole is not included",Art by Valerie,,"","",true,Title,Default Title,,,,,,,,8313841_19211,36.8543800625,shopify,deny,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6cd16772f.jpg?v=1783459057,1,Product mockup,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6cd16772f.jpg?v=1783459057,oz,,8.67,true,,,active
land-of-the-free-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6cd16a5c0.jpg?v=1783459057,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-of-the-free-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-front-6a4d6cd1699be.jpg?v=1783459057,3,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-of-the-free-garden-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/garden-flag-white-12x17-back-6a4d6cd168d96.jpg?v=1783459057,4,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,Land of the Free iPhone Impact-Resistant Case — Patriotic Stars & Stripes Phone Cover,"This navy, full-wrap phone case blends vintage Americana with modern protection. The muted star-arc and cream lettering — ""Land of the Free"" — sit above a subtle red-and-cream band that carries tiny silhouettes of a house and windmill, giving the design a lived-in, small-town feel. The dual-layer build shields your phone from everyday bumps while the glossy or matte finish keeps the print vibrant and true. Carry a quiet, steady reminder of home and independence wherever you go.<br><br>Product features<br>- Dual-layer protection: rigid polycarbonate shell with a black TPU inner layer for impact resistance<br>- Full-wrap, photo-quality print: 300+ DPI for bright, crisp colors across the exterior<br>- Finish options: choose glossy or matte premium surface<br>- Wireless charging compatible with a removable inner TPU layer<br>- New fits: available for iPhone 17 and Samsung Galaxy S26 series<br><br>Care instructions<br>- Clean the case with soft, damp cotton or microfiber cloth. Avoid using chemicals.				<br>",Printify,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Cases,Phone Case,"4th july gift, american case, home of brave, impact case, land of free, military gift, navy phone, patriot phone, patriotic case, phone case, red white blue, slim impact, soldier gift",true,Size,Samsung Galaxy S26,,Surface,Glossy,,Shape,Without gift packaging,,'93717665410945092286,99.7903214,shopify,deny,manual,22.82,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/17619717192355243895_2048.jpg?v=1783468230,1,"",false,,,2353,,,,,,,,,,,,,bag-case-material__plastic; bag-case-material__thermoplastic-polyurethane-tpu,,,case-transparency-level__opaque,case-type__back-cover,,,,,,,,,ingress-protection-ip-rating__not-rated,,magsafe-compatibility__not-magsafe-compatible,material__plastic; material__thermoplastic-polyurethane-tpu,,mobile-phone-case-features__shockproof; mobile-phone-case-features__snug-fit,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/4272549671666767636_2048.jpg?v=1783468344,lb,,13.69,true,,,active
